     *     0     1     A     B     C     D     E     F     G     H     I     J     2     K     L     M     N     O     P     Q     R     S     T     3     U     V     W     X     Y     Z     a     b     d     e     4     f     g     h     n     q     r     t     5     6     7     8     9
     0   109     0     0     0     1     2     0     0     0     0     0     0     0     0     0     1     0    89     0     0     0     0     0     0     2     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     1     0   147     0     0     0     0     0     0     0     0    11     0     0     0    49     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     2     1     0     0     0     0     0     0     0
     A     0     0   207     1     0     0     1     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0
     B     0     0     0   202     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     2     0     1     1     1     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     C     1     0     0     0   419     0     0     0     2     0     0     0     0     0     3     0     0     0     0     1     0     1     0     0     0     0     0     0     0     0     0     1     1     8     0     0     0     0     0     0     0     0     0     0     0     0     0
     D     0     0     0     2     0   220     0     0     0     0     0     0     0     0     0     0     0     7     2     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     E     0     0     0     1     0     0   207     3     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     1     0     3     0     0     0     1     0
     F     0     0     0     0     0     0     2   196     0     0     1     0     0     0     0     0     0     0     2     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     1     0     0
     G     0     0     0     1     0     0     0     0   209     0     1     1     0     0     0     0     0     0     0     1     0     1     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     7     0     0     0
     H     0     0     2     0     0     0     0     0     1   197     0     0     0     2     0     1     0     0     0     0     1     0     0     0     1     0     0     0     1     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0
     I     0    50     0     0     0     0     0     0     0     0   337     6     0     0    19     0     0     0     0     0     0     0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     2     0     0
     J     0     1     0     0     0     0     0     0     0     0    10   390     0     0     0     0     0     0     0     0     0     2     1     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     2     0     0     0     0     0     0     0     0     0     0     2     0   204     0     1     0     0     0     1     0     0     0     0     0     0     0     0     0     0    20     0     0     1     0     0     0     0     0     0     1     0     0     0     0     0     0     0
     K     0     0     0     0     1     0     0     0     0     0     0     0     0   425     0     0     0     0     0     0     1     0     0     0     1     0     1     4     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0
     L     0    77     0     0     5     1     0     0     0     0    10     1     2     1   346     0     0     0     0     0     2     1     0     0     1     0     0     1     0     0     0     0     0     2     1     0     0     0     0     0     2     1     0     0     0     0     0
     M     0     0     0     0     0     0     0     0     0     2     0     0     0     1     0   440     2     0     0     0     0     0     0     0     1     1     1     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0
